panel,shots,k,acc,n
arith15,0,0,0.5,100
arith15,0,4,0.68,100
arith15,0,16,0.68,100
arith15,0,64,0.83,100
arith15,0,256,0.91,100
arith15,0,300,0.93,100
arith15,0,1024,0.9,100
arith15,0,4096,0.92,100
arith15,3,0,0.76,100
arith15,3,64,0.86,100
arith15,3,256,0.92,100
arith15,3,1024,0.91,100
arith15,3,4096,0.92,100
nhop4,0,0,0.08,150
nhop4,0,4,0.1067,150
nhop4,0,16,0.1533,150
nhop4,0,64,0.2,150
nhop4,0,256,0.3267,150
nhop4,0,300,0.3533,150
nhop4,0,1024,0.4467,150
nhop4,0,4096,0.5133,150
nhop4,3,0,0.1905,147
nhop4,3,64,0.3129,147
nhop4,3,256,0.3673,147
nhop4,3,1024,0.4422,147
nhop4,3,4096,0.4966,147
aime,0,0,0.2897,214
aime,0,4,0.3102,216
aime,0,16,0.3502,217
aime,0,64,0.4332,217
aime,0,256,0.5826,218
aime,0,300,0.5853,217
aime,0,1024,0.6789,218
aime,0,4096,0.7064,218
aime,3,0,0.3825,217
aime,3,64,0.4954,218
aime,3,256,0.5963,218
aime,3,1024,0.6972,218
aime,3,4096,0.7431,218
aimepp,0,0,0.6471,34
aimepp,0,4,0.5588,34
aimepp,0,16,0.6765,34
aimepp,0,64,0.7941,34
aimepp,0,256,0.7647,34
aimepp,0,300,0.8485,33
aimepp,0,1024,0.8824,34
aimepp,0,4096,0.8529,34
aimepp,3,0,0.5588,34
aimepp,3,64,0.8529,34
aimepp,3,256,0.9118,34
aimepp,3,1024,0.8824,34
aimepp,3,4096,0.8824,34
